Kategoria,Angielski,Polski,Przykładowe zdanie,Tłumaczenie zdania,Poziom
Klimat,Air pollution,Zanieczyszczenie powietrza,Air pollution from vehicles and industries can exacerbate climate change.,Zanieczyszczenie powietrza spowodowane przez pojazdy i przemysł może pogłębiać zmiany klimatu.,B2
Klimat,Natural resources,Surowce naturalne,Protecting natural resources is essential for future generations.,Ochrona surowców naturalnych jest niezbędna dla przyszłych pokoleń.,B2
Klimat,Hydroponics,Hydroponika,Hydroponics is a method of growing plants without soil.,Hydroponika to metoda uprawy roślin bez gleby.,B2
Klimat,Carbon sequestration,Sekwestracja węgla,Carbon sequestration involves capturing and storing carbon dioxide from the atmosphere.,Sekwestracja węgla polega na wychwytywaniu i przechowywaniu dwutlenku węgla z atmosfery.,B2
Klimat,Greenhouse effect,Efekt cieplarniany,The greenhouse effect is a natural process that warms the Earth’s surface.,"Efekt cieplarniany to naturalny proces, który ociepla powierzchnię Ziemi.",B2
Pogoda,Weather,Pogoda,The weather is sunny today.,Pogoda jest dzisiaj słoneczna.,B1
Pogoda,Rain,Deszcz,It is going to rain later this afternoon.,Ma padać deszcz później tego popołudnia.,B1
Pogoda,Sunny,Słoneczny,We had a sunny day at the beach.,Mieliśmy słoneczny dzień na plaży.,B1
Pogoda,Cloudy,Pochmurny,The sky is cloudy and gray.,Niebo jest pochmurne i szare.,B1
Pogoda,Windy,Wietrznie,It’s very windy outside today.,Dzisiaj jest bardzo wietrznie na zewnątrz.,B1
Pogoda,Snow,Śnieg,There is a lot of snow on the ground.,Na ziemi leży dużo śniegu.,B1
Pogoda,Temperature,Temperatura,The temperature dropped below freezing last night.,Temperatura spadła poniżej zera zeszłej nocy.,B1
Pogoda,Forecast,Prognoza pogody,The weather forecast predicts thunderstorms this evening.,Prognoza pogody przewiduje burze wieczorem.,B1
Pogoda,Humidity,Wilgotność,"The humidity is high, making it feel warmer than it is.","Wilgotność jest wysoka, co sprawia, że wydaje się cieplej niż jest.",B1
Pogoda,Storm,Burza,"A storm is approaching, so we should stay indoors.","Nadchodzi burza, więc powinniśmy zostać w środku.",B1
Pogoda,Thunder,Grzmot,We heard thunder during the night.,Słyszeliśmy grzmot w nocy.,B1
Pogoda,Lightning,Błyskawica,The lightning was very bright during the storm.,Błyskawica była bardzo jasna podczas burzy.,B1
Pogoda,Fog,Mgła,The fog is so thick that I can barely see the road.,"Mgła jest tak gęsta, że ledwo widzę drogę.",B1
Pogoda,Drizzle,Mżawka,It’s just a light drizzle this morning.,Rano jest tylko lekka mżawka.,B1
Pogoda,Overcast,Zachmurzenie,"The sky is overcast, so it might rain later.","Niebo jest zachmurzone, więc może padać później.",B1
Pogoda,Clear,Czysty,"The sky is clear, with no clouds in sight.","Niebo jest czyste, bez chmur w zasięgu wzroku.",B1
Pogoda,Frost,Mróz,There was a frost on the car windows this morning.,Rano na szybach samochodu był mróz.,B1
Pogoda,Gust,Poryw wiatru,We felt a sudden gust of wind while walking.,Poczułem nagły poryw wiatru podczas spaceru.,B1
Pogoda,Chilly,Chłodny,"It feels a bit chilly today, so I need a jacket.","Dziś jest trochę chłodno, więc potrzebuję kurtki.",B1
Pogoda,Heatwave,Fala upałów,We are experiencing a heatwave this week.,W tym tygodniu mamy falę upałów.,B1
Pogoda,Thunderstorm,Burza z piorunami,The thunderstorm caused a power outage in our area.,Burza z piorunami spowodowała przerwę w dostawie prądu w naszej okolicy.,B1
Pogoda,Rainy,Deszczowy,The weather is rainy all week long.,Pogoda jest deszczowa przez cały tydzień.,B1
Pogoda,Warm,Ciepły,The weather is warm and pleasant today.,Pogoda jest dzisiaj ciepła i przyjemna.,B1
Pogoda,Icy,Śliski,The roads are icy and dangerous this morning.,Drogi są śliskie i niebezpieczne dzisiaj rano.,B1
Pogoda,Mild,Łagodny,We are having a mild winter this year.,Mamy łagodną zimę w tym roku.,B1
Pogoda,Barometer,Barometr,"The barometer is dropping, which might indicate a change in weather.","Barometr spada, co może wskazywać na zmianę pogody.",B1
Pogoda,Blizzard,Śnieżyca,The blizzard made travel very difficult.,Śnieżyca bardzo utrudniła podróżowanie.,B1
Pogoda,Weather pattern,Wzór pogodowy,The weather pattern this month has been unusual.,Wzór pogodowy w tym miesiącu był nietypowy.,B1
Pogoda,Sunshine,Słońce (promienie),We enjoyed the warm sunshine on the beach.,Cieszyliśmy się ciepłymi promieniami słońca na plaży.,B1
Pogoda,Wet,Mokry,The ground is wet after last night's rain.,Ziemia jest mokra po wczorajszym deszczu.,B1
Zdrowie,Health,Zdrowie,Maintaining good health requires regular exercise.,Utrzymanie dobrego zdrowia wymaga regularnych ćwiczeń.,B1
Zdrowie,Fitness,Sprawność,She goes to the gym to improve her fitness.,"Chodzi na siłownię, aby poprawić swoją sprawność.",B1
Zdrowie,Exercise,Ćwiczenia,Regular exercise is important for a healthy lifestyle.,Regularne ćwiczenia są ważne dla zdrowego stylu życia.,B1
Zdrowie,Diet,Dieta,"A balanced diet includes fruits, vegetables, and whole grains.","Zrównoważona dieta obejmuje owoce, warzywa i pełnoziarniste produkty.",B1
Zdrowie,Nutrition,Odżywianie,Good nutrition is essential for overall well-being.,Dobre odżywianie jest niezbędne dla ogólnego dobrego samopoczucia.,B1
Zdrowie,Doctor,Lekarz,You should see a doctor if you’re feeling unwell.,"Powinieneś udać się do lekarza, jeśli źle się czujesz.",B1
Zdrowie,Patient,Pacjent,The patient needs to follow the doctor's instructions.,Pacjent musi przestrzegać instrukcji lekarza.,B1
Zdrowie,Symptom,Objaw,Common symptoms of a cold include a runny nose and sore throat.,Typowe objawy przeziębienia to katar i ból gardła.,B1
Zdrowie,Prescription,Recepta,The doctor wrote a prescription for my medication.,Lekarz wypisał receptę na moje leki.,B1
Zdrowie,Recovery,Rekonwalescencja,It took several weeks for her to recover from the surgery.,Powrót do zdrowia po operacji zajął jej kilka tygodni.,B1
Zdrowie,Allergy,Alergia,He has an allergy to peanuts and must avoid them.,Ma alergię na orzeszki ziemne i musi ich unikać.,B1
Zdrowie,Immunity,Odporność,Vaccines help to boost your immunity against diseases.,Szczepionki pomagają zwiększyć odporność na choroby.,B1
Zdrowie,Chronic,Przewlekły,She suffers from a chronic condition that requires ongoing treatment.,"Cierpi na przewlekłą chorobę, która wymaga stałego leczenia.",B1
Zdrowie,Infection,Infekcja,An infection can be treated with antibiotics.,Infekcję można leczyć antybiotykami.,B1
Zdrowie,Pain,Ból,The pain in his back is getting worse.,Ból w jego plecach się nasila.,B1
Zdrowie,Vaccination,Szczepienie,Vaccination is important to prevent the spread of diseases.,"Szczepienie jest ważne, aby zapobiec rozprzestrzenianiu się chorób.",B1
Zdrowie,Well-being,Samopoczucie,Mental well-being is as important as physical health.,Samopoczucie psychiczne jest równie ważne jak zdrowie fizyczne.,B1
Zdrowie,Consultation,Konsultacja,She made an appointment for a consultation with a specialist.,Umówiła się na konsultację ze specjalistą.,B1
Zdrowie,Diagnosis,Diagnoza,The diagnosis revealed that he had a sinus infection.,"Diagnoza wykazała, że ma zapalenie zatok.",B1
Zdrowie,Surgery,Operacja,He needs to undergo surgery to repair the damaged ligament.,"Musi przejść operację, aby naprawić uszkodzony więzadło.",B1
Zdrowie,Treatment,Leczenie,The treatment for his condition involves physical therapy.,Leczenie jego schorzenia obejmuje terapię fizyczną.,B1
Zdrowie,Check-up,Kontrola,Regular check-ups help to monitor your health.,Regularne kontrole pomagają monitorować zdrowie.,B1
Zdrowie,Disease,Choroba,Diabetes is a chronic disease that affects blood sugar levels.,"Cukrzyca to przewlekła choroba, która wpływa na poziom cukru we krwi.",B1
Zdrowie,Medication,Lek,The doctor prescribed medication to help manage the symptoms.,"Lekarz przepisał lek, aby pomóc w zarządzaniu objawami.",B1
Zdrowie,Therapy,Terapia,Physical therapy can help with rehabilitation after injury.,Terapia fizyczna może pomóc w rehabilitacji po urazie.,B1
Zdrowie,Healthy,Zdrowy,Eating a healthy diet can improve your overall health.,Jedzenie zdrowej diety może poprawić ogólne zdrowie.,B1
Zdrowie,Emergency,Nagły wypadek,"In case of an emergency, call 911 immediately.","W przypadku nagłego wypadku, natychmiast zadzwoń pod numer 911.",B1
Zdrowie,Painkiller,Środek przeciwbólowy,He took a painkiller to relieve the headache.,"Wziął środek przeciwbólowy, aby złagodzić ból głowy.",B1
Zdrowie,Health care,Opieka zdrowotna,Good health care is essential for treating illnesses effectively.,Dobra opieka zdrowotna jest niezbędna do skutecznego leczenia chorób.,B1
Zdrowie,Symptoms,Objawy,The symptoms of the flu include fever and body aches.,Objawy grypy obejmują gorączkę i bóle ciała.,B1
Technologia,Technology,Technologia,Technology is advancing rapidly in today's world.,Technologia szybko się rozwija w dzisiejszym świecie.,B1
Technologia,Computer,Komputer,She uses her computer for work and leisure.,Używa swojego komputera do pracy i rozrywki.,B1
Technologia,Software,Oprogramowanie,The software needs to be updated to improve performance.,"Oprogramowanie musi być zaktualizowane, aby poprawić wydajność.",B1
Technologia,Hardware,Sprzęt komputerowy,The computer's hardware is very powerful.,Sprzęt komputerowy jest bardzo wydajny.,B1
Technologia,Internet,Internet,The internet allows us to communicate instantly with others.,Internet pozwala nam natychmiast komunikować się z innymi.,B1
Technologia,Website,Strona internetowa,I visited their website to learn more about their services.,"Odwiedziłem ich stronę internetową, aby dowiedzieć się więcej o ich usługach.",B1
Technologia,Application,Aplikacja,There is a new application for tracking fitness progress.,Jest nowa aplikacja do śledzenia postępów w fitnessie.,B1
Technologia,Digital,Cyfrowy,Digital technology is changing the way we live.,"Technologia cyfrowa zmienia sposób, w jaki żyjemy.",B1
Technologia,Network,Sieć,The network connection was lost during the meeting.,Połączenie sieciowe zostało utracone podczas spotkania.,B1
Technologia,Email,E-mail,I sent you an email with the details of the meeting.,Wysłałem Ci e-mail z szczegółami spotkania.,B1
Technologia,Smartphone,Smartfon,Her smartphone has many useful features.,Jej smartfon ma wiele przydatnych funkcji.,B1
Technologia,Tablet,Tablet,He reads books on his tablet.,Czyta książki na swoim tablecie.,B1
Technologia,Password,Hasło,Remember to change your password regularly for security.,"Pamiętaj, aby regularnie zmieniać swoje hasło dla bezpieczeństwa.",B1
Technologia,Cloud computing,Chmura obliczeniowa,Cloud computing allows for storing data online.,Chmura obliczeniowa umożliwia przechowywanie danych w sieci.,B1
Technologia,Update,Aktualizacja,You need to update your system to the latest version.,Musisz zaktualizować swój system do najnowszej wersji.,B1
Technologia,Virus,Wirus,The computer caught a virus and needs to be repaired.,Komputer złapał wirusa i potrzebuje naprawy.,B1
Technologia,Bug,Błąd,The software has a bug that causes it to crash.,"Oprogramowanie ma błąd, który powoduje jego awarię.",B1
Technologia,Backup,Kopia zapasowa,It’s important to create regular backups of your files.,"Ważne jest, aby regularnie tworzyć kopie zapasowe swoich plików.",B1
Technologia,Encryption,Szyfrowanie,Encryption helps to protect sensitive information.,Szyfrowanie pomaga chronić wrażliwe informacje.,B1
Technologia,Database,Baza danych,The database stores all the information for the company.,Baza danych przechowuje wszystkie informacje dla firmy.,B1
Technologia,User interface,Interfejs użytkownika,The user interface of the new app is very intuitive.,Interfejs użytkownika nowej aplikacji jest bardzo intuicyjny.,B1
Technologia,Server,Serwer,"The server crashed, causing the website to go offline.","Serwer uległ awarii, co spowodowało, że strona internetowa przestała działać.",B1
Technologia,Webpage,Strona internetowa,The webpage took a long time to load.,Strona internetowa ładowała się długo.,B1
Technologia,Browser,Przeglądarka,She uses a web browser to access the internet.,Używa przeglądarki internetowej do korzystania z internetu.,B1
Technologia,Link,Link,Click the link to visit the website.,"Kliknij link, aby odwiedzić stronę internetową.",B1
Technologia,Download,Pobieranie,You can download the file from the website.,Możesz pobrać plik ze strony internetowej.,B1
Technologia,Upload,Przesyłanie,He uploaded the documents to the cloud storage.,Przesłał dokumenty do chmury.,B1
Technologia,Technology,Technologia,Modern technology offers many conveniences.,Nowoczesna technologia oferuje wiele udogodnień.,B1
Technologia,Robot,Robot,The factory uses robots to assemble the products.,Fabryka używa robotów do montażu produktów.,B1
Technologia,Artificial Intelligence,Sztuczna inteligencja,Artificial intelligence is used in many applications today.,Sztuczna inteligencja jest używana w wielu aplikacjach dzisiaj.,B1
Podróże,Travel,Podróż,I love to travel to new places every year.,Uwielbiam podróżować do nowych miejsc co roku.,B1
Podróże,Destination,Cel podróży,Our destination is Paris.,Naszym celem podróży jest Paryż.,B1
Podróże,Journey,Podróż,The journey from New York to Los Angeles takes about 6 hours.,Podróż z Nowego Jorku do Los Angeles trwa około 6 godzin.,B1
Podróże,Tourist,Turysta,Many tourists visit this city during the summer.,Wiele turystów odwiedza to miasto latem.,B1
Podróże,Itinerary,Plan podróży,We need to create an itinerary for our trip to Italy.,Musimy stworzyć plan podróży na naszą wycieczkę do Włoch.,B1
Podróże,Sightseeing,Zwiedzanie,Sightseeing in Rome is very exciting and interesting.,Zwiedzanie Rzymu jest bardzo ekscytujące i interesujące.,B1
Podróże,Accommodation,Zakwaterowanie,We booked accommodation in a small hotel near the beach.,Zarezerwowaliśmy zakwaterowanie w małym hotelu blisko plaży.,B1
Podróże,Flight,Lot,Our flight to Tokyo was delayed due to bad weather.,Nasz lot do Tokio został opóźniony z powodu złej pogody.,B1
Podróże,Passport,Paszport,Don’t forget to bring your passport when traveling abroad.,Nie zapomnij zabrać swojego paszportu podczas podróży za granicę.,B1
Podróże,Visa,Wiza,We need a visa to visit the country.,"Potrzebujemy wizy, aby odwiedzić ten kraj.",B1
Podróże,Luggage,Bagaż,My luggage was lost during the flight.,Mój bagaż został zagubiony podczas lotu.,B1
Podróże,Customs,Odprawa celna,We had to go through customs at the airport.,Musieliśmy przejść odprawę celną na lotnisku.,B1
Podróże,Ticket,Bilet,I bought a ticket for the museum online.,Kupiłem bilet do muzeum online.,B1
Podróże,Guide,Przewodnik,A local guide showed us around the city.,Miejscowy przewodnik pokazał nam miasto.,B1
Podróże,Excursion,Wycieczka,We went on a day-long excursion to the nearby islands.,Pojechaliśmy na całodniową wycieczkę na pobliskie wyspy.,B1
Podróże,Reservation,Rezerwacja,I made a reservation for dinner at a fancy restaurant.,Zrobiłem rezerwację na kolację w eleganckiej restauracji.,B1
Podróże,Adventure,Przygoda,The trip was full of adventure and excitement.,Podróż była pełna przygód i ekscytacji.,B1
Podróże,Travel Agency,Biuro podróży,We booked our vacation through a travel agency.,Zarezerwowaliśmy nasze wakacje przez biuro podróży.,B1
Podróże,Cruise,Rejs,We took a cruise around the Mediterranean Sea.,Wzięliśmy rejs po Morzu Śródziemnym.,B1
Podróże,Travel Insurance,Ubezpieczenie podróżne,It’s wise to purchase travel insurance before a trip.,Warto kupić ubezpieczenie podróżne przed wyjazdem.,B1
Podróże,Backpack,Plecak,She packed her backpack for the hiking trip.,Spakowała swój plecak na wycieczkę górską.,B1
Podróże,Guidebook,Przewodnik turystyczny,I bought a guidebook to learn more about the destination.,"Kupiłem przewodnik turystyczny, aby dowiedzieć się więcej o celu podróży.",B1
Podróże,Souvenir,Pamiątka,I bought a souvenir for my friend from the trip.,Kupiłem pamiątkę dla mojego przyjaciela z podróży.,B1
Podróże,Hostel,Hostel,We stayed in a hostel to save money during our trip.,"Zatrzymaliśmy się w hostelu, aby zaoszczędzić pieniądze podczas podróży.",B1
Podróże,Travel,Podróż,Traveling by train is more comfortable than by bus.,Podróżowanie pociągiem jest wygodniejsze niż autobusem.,B1
Podróże,Accommodation,Zakwaterowanie,Accommodation options in the city range from luxury hotels to hostels.,Opcje zakwaterowania w mieście obejmują od luksusowych hoteli po hostele.,B1
Podróże,Journey,Podróż,The journey was long but rewarding.,"Podróż była długa, ale satysfakcjonująca.",B1
Podróże,Departure,Wyjazd,Our departure time is at 8 AM.,Czas naszego wyjazdu to 8 rano.,B1
Podróże,Arrival,Przyjazd,We expect to arrive at our destination by noon.,Oczekujemy przyjazdu do celu podróży do południa.,B1
Podróże,Tour,Wycieczka,The city tour covered all the major landmarks.,Wycieczka po mieście obejmowała wszystkie główne atrakcje.,B1
Psychologia,Psychology,Psychologia,Psychology is the study of the mind and behavior.,Psychologia to nauka o umyśle i zachowaniu.,B1
Psychologia,Behavior,Zachowanie,His behavior in stressful situations can be unpredictable.,Jego zachowanie w stresujących sytuacjach może być nieprzewidywalne.,B1
Psychologia,Emotion,Emocja,She felt a range of emotions after receiving the news.,Po otrzymaniu wiadomości czuła szereg emocji.,B1
Psychologia,Mental health,Zdrowie psychiczne,Good mental health is important for overall well-being.,Dobre zdrowie psychiczne jest ważne dla ogólnego samopoczucia.,B1
Psychologia,Therapy,Terapia,Therapy can help people deal with their personal issues.,Terapia może pomóc ludziom radzić sobie z osobistymi problemami.,B1
Psychologia,Counseling,Doradztwo,She went for counseling to improve her coping skills.,"Poszła na doradztwo, aby poprawić swoje umiejętności radzenia sobie.",B1
Psychologia,Stress,Stres,Stress can affect both physical and mental health.,"Stres może wpływać zarówno na zdrowie fizyczne, jak i psychiczne.",B1
Psychologia,Anxiety,Lęk,He experienced anxiety before giving his presentation.,Doświadczył lęku przed wygłoszeniem swojej prezentacji.,B1
Psychologia,Depression,Depresja,Depression can cause feelings of sadness and hopelessness.,Depresja może powodować uczucia smutku i beznadziejności.,B1
Psychologia,Self-esteem,Pewność siebie,Building self-esteem is important for personal growth.,Budowanie pewności siebie jest ważne dla osobistego rozwoju.,B1
Psychologia,Cognition,Poznanie,Cognition involves processes such as thinking and remembering.,Poznanie obejmuje procesy takie jak myślenie i pamiętanie.,B1
Psychologia,Motivation,Motywacja,Motivation can help you achieve your goals.,Motywacja może pomóc w osiąganiu celów.,B1
Psychologia,Addiction,Uzależnienie,Addiction can have serious effects on a person's life.,Uzależnienie może mieć poważne skutki dla życia osoby.,B1
Psychologia,Mindfulness,Uważność,Mindfulness involves paying attention to the present moment.,Uważność polega na skupieniu uwagi na teraźniejszym momencie.,B1
Psychologia,Therapist,Terapeuta,The therapist helped her work through her challenges.,Terapeuta pomógł jej poradzić sobie z wyzwaniami.,B1
Psychologia,Psychiatrist,Psychiatra,A psychiatrist can prescribe medication for mental health issues.,Psychiatra może przepisać leki na problemy ze zdrowiem psychicznym.,B1
Psychologia,Empathy,Empatia,Empathy is the ability to understand and share the feelings of others.,Empatia to zdolność do rozumienia i dzielenia się uczuciami innych.,B1
Psychologia,Self-care,Dbanie o siebie,Self-care is important for maintaining good mental health.,Dbanie o siebie jest ważne dla utrzymania dobrego zdrowia psychicznego.,B1
Psychologia,Trauma,Trauma,Trauma can have long-lasting effects on a person's mental health.,Trauma może mieć długotrwałe skutki dla zdrowia psychicznego osoby.,B1
Psychologia,Support,Wsparcie,Having a strong support system is crucial for overcoming challenges.,Posiadanie silnego systemu wsparcia jest kluczowe dla pokonywania trudności.,B1
Psychologia,Recovery,Regeneracja,Recovery from mental health issues can take time.,Regeneracja po problemach ze zdrowiem psychicznym może zająć trochę czasu.,B1
Psychologia,Self-awareness,Świadomość siebie,Self-awareness helps you understand your own emotions and behavior.,Świadomość siebie pomaga zrozumieć własne emocje i zachowanie.,B1
Psychologia,Resilience,Odporność,Resilience allows people to bounce back from difficult situations.,Odporność pozwala ludziom wracać do siebie po trudnych sytuacjach.,B1
Psychologia,Diagnosis,Diagnoza,The diagnosis revealed that she had an anxiety disorder.,"Diagnoza wykazała, że miała zaburzenia lękowe.",B1
Psychologia,Intervention,Interwencja,Early intervention can prevent more serious mental health issues.,Wczesna interwencja może zapobiec poważniejszym problemom ze zdrowiem psychicznym.,B1
Psychologia,Behavioral,Zachowaniowy,Behavioral therapy focuses on changing harmful behaviors.,Terapia behawioralna koncentruje się na zmianie szkodliwych zachowań.,B1
Psychologia,Cognitive,Poznawczy,Cognitive therapy aims to change negative thought patterns.,Terapia poznawcza ma na celu zmianę negatywnych wzorców myślenia.,B1
Psychologia,Stress management,Zarządzanie stresem,Stress management techniques can improve overall well-being.,Techniki zarządzania stresem mogą poprawić ogólne samopoczucie.,B1
Psychologia,Well-being,Dobrostan,Mental well-being is as important as physical health.,Dobrostan psychiczny jest tak samo ważny jak zdrowie fizyczne.,B1
Psychologia,Counselor,Doradca,The counselor provided valuable advice for handling stress.,Doradca udzielił cennych rad dotyczących radzenia sobie ze stresem.,B1
Klimat,Climate,Klimat,The climate in tropical regions is usually hot and humid.,Klimat w regionach tropikalnych jest zazwyczaj gorący i wilgotny.,B1
Klimat,Weather,Pogoda,The weather today is sunny and warm.,Dzisiejsza pogoda jest słoneczna i ciepła.,B1
Klimat,Temperature,Temperatura,The temperature is expected to rise over the weekend.,Temperatura ma wzrosnąć w ciągu weekendu.,B1
Klimat,Precipitation,Opady,We are expecting heavy precipitation this week.,Oczekujemy intensywnych opadów w tym tygodniu.,B1
Klimat,Humidity,Wilgotność,High humidity can make the air feel warmer.,"Wysoka wilgotność może sprawić, że powietrze wydaje się cieplejsze.",B1
Klimat,Forecast,Prognoza pogody,The weather forecast predicts rain for tomorrow.,Prognoza pogody przewiduje deszcz na jutro.,B1
Klimat,Season,Sezon,Summer is the hottest season of the year.,Lato jest najgorętszą porą roku.,B1
Klimat,Climate change,Zmiana klimatu,Climate change is causing more frequent extreme weather events.,Zmiana klimatu powoduje coraz częstsze ekstremalne zjawiska pogodowe.,B1
Klimat,Drought,Susza,A prolonged drought can lead to water shortages.,Długa susza może prowadzić do niedoborów wody.,B1
Klimat,Flood,Powódź,The heavy rain caused a flood in the low-lying areas.,Intensywne opady deszczu spowodowały powódź w obszarach nisko położonych.,B1
Klimat,Temperature rise,Wzrost temperatury,Global temperature rise is a major concern for scientists.,Wzrost globalnej temperatury jest poważnym zmartwieniem dla naukowców.,B1
Klimat,Global warming,Ocieplenie klimatu,Global warming is affecting ice caps around the world.,Ocieplenie klimatu wpływa na czapy lodowe na całym świecie.,B1
Klimat,Greenhouse gases,Gazy cieplarniane,Greenhouse gases trap heat in the atmosphere.,Gazy cieplarniane zatrzymują ciepło w atmosferze.,B1
Klimat,Ecosystem,Ekosystem,Changes in climate can disrupt local ecosystems.,Zmiany klimatu mogą zakłócać lokalne ekosystemy.,B1
Klimat,Air quality,Jakość powietrza,Poor air quality can affect people's health.,Zła jakość powietrza może wpływać na zdrowie ludzi.,B1
Klimat,Carbon footprint,Ślad węglowy,Reducing your carbon footprint can help combat climate change.,Ograniczenie swojego śladu węglowego może pomóc w walce ze zmianami klimatu.,B1
Klimat,Renewable energy,Energia odnawialna,Using renewable energy sources can reduce greenhouse gas emissions.,Korzystanie z odnawialnych źródeł energii może zmniejszyć emisję gazów cieplarnianych.,B1
Klimat,Sustainability,Zrównoważony rozwój,Sustainability involves using resources in a way that preserves them for future generations.,"Zrównoważony rozwój polega na korzystaniu z zasobów w sposób, który zapewnia ich zachowanie dla przyszłych pokoleń.",B1
Klimat,Melting,Topniejący,The melting of polar ice is a visible sign of global warming.,Topnienie lodowców polarnych jest widocznym znakiem ocieplenia klimatu.,B1
Klimat,Extreme weather,Ekstremalne zjawiska pogodowe,Extreme weather events are becoming more common.,Ekstremalne zjawiska pogodowe stają się coraz bardziej powszechne.,B1
Klimat,Sea level rise,Wzrost poziomu morza,Sea level rise threatens coastal communities.,Wzrost poziomu morza zagraża społecznościom nadbrzeżnym.,B1
Klimat,Weather patterns,Wzorce pogodowe,Changing weather patterns can affect agriculture.,Zmieniające się wzorce pogodowe mogą wpływać na rolnictwo.,B1
Klimat,Green spaces,Zielone przestrzenie,Green spaces in urban areas can help reduce heat islands.,Zielone przestrzenie w miastach mogą pomóc w redukcji wysp ciepła.,B1
Klimat,Biodiversity,Biodiversytet,Protecting biodiversity is crucial for a healthy environment.,Ochrona bioróżnorodności jest kluczowa dla zdrowego środowiska.,B1
Klimat,Ozone layer,Warstwa ozonowa,The ozone layer protects the Earth from harmful UV radiation.,Warstwa ozonowa chroni Ziemię przed szkodliwym promieniowaniem UV.,B1
